nohup: ignoring input
Preprocessing....
Loading data...
Model parameters:  17583594
Training....
[model]
num_layers = 4
num_heads = 8
d_model = 512
dff = 512
pe_input = 120
pe_target = 120
rate = 0.1
device = cuda:2

[data]
max_length = 100
batch_size = 512
on_full = True
full_data_path = /home/Zhouyu/MODEL/translate/ustpo_list.txt
250k_data_path = /home/Zhouyu/MODEL/translate/ustpo250k_list.txt
vocab_path = /home/Zhouyu/MODEL/translate/vocab.txt

[train]
epochs = 20
save_dir = /home/Zhouyu/MODEL/translate/save
save_name = /test17m.tar
print_trainstep_every = 100
teacher_forcing_ratio = 0.2

[optimizer]
lr = 0.0001
beta1 = 0.9
beta2 = 0.98
eps = 1e-9

[generate]
on = False
ckpt = /home/Zhouyu/MODEL/translate/save/test2passbig240m.tar
==================== 2024-02-29 20:39:11 ====================
Epoch 2 | Step 6200 | Loss 1.2264 | Accuracy 0.5551
Epoch 2 | Step 6300 | Loss 1.2256 | Accuracy 0.5554
Epoch 2 | Step 6400 | Loss 1.2249 | Accuracy 0.5556
Epoch 2 | Step 6500 | Loss 1.2243 | Accuracy 0.5559
Epoch 2 | Step 6600 | Loss 1.2236 | Accuracy 0.5562
Epoch 2 | Step 6700 | Loss 1.2229 | Accuracy 0.5565
Epoch 2 | Step 6800 | Loss 1.2221 | Accuracy 0.5569
Epoch 2 | Step 6900 | Loss 1.2215 | Accuracy 0.5573
Epoch 2 | Step 7000 | Loss 1.2210 | Accuracy 0.5576
Epoch 2 | Step 7100 | Loss 1.2206 | Accuracy 0.5579
  0%|          | 0/7172 [48:55<?, ?it/s]
EPOCH: 2, LOSS: 1.2205, ACC: 0.5582, VAL_LOSS: 0.0000, VAL_ACC: 0.0000
==================== 2024-02-29 22:13:14 ====================
  0%|          | 0/7172 [00:00<?, ?it/s]Epoch 3 | Step 0 | Loss 1.3725 | Accuracy 0.4798
Epoch 3 | Step 100 | Loss 0.6092 | Accuracy 0.7866
Epoch 3 | Step 200 | Loss 0.5740 | Accuracy 0.7982
Epoch 3 | Step 300 | Loss 0.5635 | Accuracy 0.8020
Epoch 3 | Step 400 | Loss 0.5629 | Accuracy 0.8024
Epoch 3 | Step 500 | Loss 0.5634 | Accuracy 0.8023
Epoch 3 | Step 600 | Loss 0.5653 | Accuracy 0.8019
Epoch 3 | Step 700 | Loss 0.5677 | Accuracy 0.8011
Epoch 3 | Step 800 | Loss 0.5734 | Accuracy 0.7992
Epoch 3 | Step 900 | Loss 0.5797 | Accuracy 0.7971
Epoch 3 | Step 1000 | Loss 0.5865 | Accuracy 0.7948
Epoch 3 | Step 1100 | Loss 0.5919 | Accuracy 0.7929
Epoch 3 | Step 1200 | Loss 0.5972 | Accuracy 0.7911
Epoch 3 | Step 1300 | Loss 0.6033 | Accuracy 0.7889
Epoch 3 | Step 1400 | Loss 0.6096 | Accuracy 0.7867
Epoch 3 | Step 1500 | Loss 0.6140 | Accuracy 0.7851
Epoch 3 | Step 1600 | Loss 0.6196 | Accuracy 0.7830
Epoch 3 | Step 1700 | Loss 0.6249 | Accuracy 0.7811
Epoch 3 | Step 1800 | Loss 0.6302 | Accuracy 0.7791
Epoch 3 | Step 1900 | Loss 0.6357 | Accuracy 0.7770
Epoch 3 | Step 2000 | Loss 0.6405 | Accuracy 0.7751
Epoch 3 | Step 2100 | Loss 0.6460 | Accuracy 0.7729
Epoch 3 | Step 2200 | Loss 0.6503 | Accuracy 0.7712
Epoch 3 | Step 2300 | Loss 0.6546 | Accuracy 0.7694
Epoch 3 | Step 2400 | Loss 0.6587 | Accuracy 0.7678
Epoch 3 | Step 2500 | Loss 0.6630 | Accuracy 0.7660
Epoch 3 | Step 2600 | Loss 0.6668 | Accuracy 0.7643
Epoch 3 | Step 2700 | Loss 0.6703 | Accuracy 0.7628
Epoch 3 | Step 2800 | Loss 0.6737 | Accuracy 0.7613
Epoch 3 | Step 2900 | Loss 0.6770 | Accuracy 0.7598
Epoch 3 | Step 3000 | Loss 0.6799 | Accuracy 0.7585
Epoch 3 | Step 3100 | Loss 0.6828 | Accuracy 0.7571
Epoch 3 | Step 3200 | Loss 0.6855 | Accuracy 0.7558
Epoch 3 | Step 3300 | Loss 0.6880 | Accuracy 0.7545
Epoch 3 | Step 3400 | Loss 0.6902 | Accuracy 0.7534
